date,time,city,temp
11.01.2023,22:57:15,Tallinn,0.97
11.01.2023,22:56:19,Tallinn,0.96
11.01.2023,22:56:15,Tallinn,0.97
11.01.2023,22:51:00,Tallinn,0.97
11.01.2023,22:50:20,Tallinn,0.97
11.01.2023,22:50:13,Tallinn,0.97
11.01.2023,22:46:12,Keila,0.53
11.01.2023,22:46:09,Keila,0.53
11.01.2023,22:45:56,Tallinn,0.97
11.01.2023,22:45:18,Tallinn,0.97
11.01.2023,22:36:18,Tallinn,0.97
11.01.2023,22:10:13,Tallinn,0.97
11.01.2023,22:01:16,Türi,0.54
11.01.2023,22:00:50,Keila,0.53
11.01.2023,21:47:24,Tallinn,0.97
11.01.2023,21:43:39,Tallinn,0.97
11.01.2023,21:39:30,Tallinn,0.97
11.01.2023,21:33:56,Tallinn,0.97
11.01.2023,21:32:10,Tallinn,0.97
11.01.2023,21:29:18,Tallinn,0.97
11.01.2023,21:27:25,Tallinn,0.97
11.01.2023,21:25:24,Tallinn,0.97
11.01.2023,21:24:35,Tallinn,0.97
11.01.2023,21:23:25,Tallinn,0.97
11.01.2023,21:04:40,Tallinn,0.97
11.01.2023,21:04:22,Tallinn,0.97
11.01.2023,20:51:31,Tallinn,0.97
11.01.2023,20:41:44,Tallinn,0.97
11.01.2023,20:11:11,Tallinn,1.15
11.01.2023,18:42:55,Narva,-1.19
11.01.2023,18:42:48,Viljandi,0.3
11.01.2023,18:42:39,Pärnu,2.05
11.01.2023,18:42:31,Kuressaare,2.17
11.01.2023,18:42:16,Kohila,1.73
11.01.2023,18:42:06,Türi,0.7
11.01.2023,18:41:36,Türi,0.7
11.01.2023,18:33:31,Türi,0.74
11.01.2023,18:33:11,Tartu,-2.38
11.01.2023,18:33:05,Tartu,-2.38
11.01.2023,18:33:00,Tartu,-2.38
11.01.2023,18:31:26,Tartu,-2.38
11.01.2023,18:30:32,Kehra,1.89
11.01.2023,18:28:33,Palamuse,-2.78
11.01.2023,18:28:21,Kohila,1.73
11.01.2023,18:28:14,Türi,0.74
11.01.2023,18:28:01,Tallinn,2.34
11.01.2023,18:26:13,Tallinn,2.34
11.01.2023,18:25:25,Tallinn,2.34
11.01.2023,18:24:36,Tallinn,2.34
11.01.2023,18:11:21,Tallinn,2.23
11.01.2023,18:11:13,Tallinn,2.23
11.01.2023,18:11:02,Tallinn,2.23
11.01.2023,18:10:26,Tallinn,2.23
11.01.2023,18:10:14,Tallinn,2.23
11.01.2023,18:08:43,Tallinn,2.23
11.01.2023,18:06:30,Tallinn,2.23
11.01.2023,18:06:22,Tallinn,2.23
11.01.2023,17:46:03,Tallinn,2.52
11.01.2023,17:45:55,Tallinn,2.52
11.01.2023,17:44:08,Tallinn,2.52
11.01.2023,17:35:00,Tallinn,2.34
11.01.2023,17:32:17,Tallinn,2.34
11.01.2023,17:32:06,Tallinn,2.34
11.01.2023,17:32:03,Tallinn,2.34
11.01.2023,17:31:57,Tallinn,2.34
11.01.2023,17:31:53,Tallinn,2.34
11.01.2023,17:07:34,Tallinn,2.34
11.01.2023,17:07:25,Tallinn,2.34
01/11/23.40.2023,15:40:22,Türi,1.0
01/11/23.39.2023,15:39:37,Türi,1.0
01/11/23.39.2023,15:39:26,Keila,2.24
01/11/23.36.2023,15:36:20,Keila,2.24
01/11/23.34.2023,15:34:32,Türi,1.0
01/11/23.34.2023,15:34:22,Tallinn,2.34
01/11/23.22.2023,15:22:40,Türi,1.09
01/11/23.19.2023,15:19:48,Türi,1.09
01/11/23.19.2023,15:19:42,Tallinn,2.34
01/11/23.16.2023,15:16:49,Keila,2.24
01/11/23.16.2023,15:16:42,Tallinn,2.34
01/11/23.13.2023,15:13:45,Paris,11.46
01/11/23.13.2023,15:13:36,Paris,11.46
01/11/23.13.2023,15:13:00,Paris,11.46
01/11/23.12.2023,15:12:22,Paris,11.46
01/11/23.04.2023,15:04:01,Paris,11.46
01/11/23.00.2023,15:00:52,Paris,11.46
01/11/23.00.2023,15:00:32,Tartu,-1.68
12.01.2023,14:12:55,Türi,2.02
12.01.2023,14:12:54,Türi,2.02
12.01.2023,14:12:44,Keila,2.73
12.01.2023,14:12:36,Kohila,1.78
12.01.2023,14:11:43,Tallinn,2.54
12.01.2023,14:01:15,Tallinn,2.54
12.01.2023,14:01:03,Tallinn,2.54
12.01.2023,14:00:21,Tallinn,2.54
01/11/23.28.2023,13:28:48,Keila,2.24
01/11/23.27.2023,13:27:31,Tallinn,2.34
01/11/23.14.2023,13:14:47,türi,8.0
12.01.2023,11:35:06,Türi,1.07
12.01.2023,11:29:09,Tallinn,1.57
12.01.2023,11:27:55,Tallinn,1.57
12.01.2023,11:26:07,Tallinn,1.57
12.01.2023,11:25:30,Tallinn,1.57
12.01.2023,11:21:58,Tallinn,1.57
12.01.2023,11:09:27,Tallinn,1.47
12.01.2023,11:07:27,Türi,0.72
12.01.2023,11:07:22,Türi,0.72
12.01.2023,11:06:54,Tallinn,1.47
